GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
product,com.cg.product.exception.handler,CustomExceptionHandler,81,3,0,0,16,1,3,1,3,1
product,com.cg.product.model,Product,338,28,58,0,6,5,43,8,14,8
product,com.cg.product.model,Catagory,24,0,0,0,5,0,7,0,7,0
product,com.cg.product.model,APIError,195,0,38,0,5,0,32,0,13,0
product,com.cg.product.controller,ProductController,38,10,0,0,8,4,6,2,6,2
product,com.cg.product.exception,CurrencyNotValidException,0,4,0,0,0,2,0,1,0,1
product,com.cg.product.exception,OfferNotValidException,0,4,0,0,0,2,0,1,0,1
product,com.cg.product,ProductApplication,5,3,0,0,2,1,1,1,1,1
product,com.cg.product.service,ProductService,29,54,2,4,8,8,6,5,4,4
product,com.cg.product.config,ProductConfiguration,47,28,13,1,0,2,10,4,3,4
